,full_name,rating,jersey,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak
354,Matisse Thybulle,72,#22,G-F,03/04/97,6-5 / 1.96,201 lbs. / 91.2 kg.,2582160,USA,2019,1,20
355,Cameron Johnson,72,#23,F,03/03/96,6-8 / 2.03,210 lbs. / 95.3 kg.,4033440,USA,2019,1,11
356,Ty Jerome,72,#10,G,07/08/97,6-5 / 1.96,195 lbs. / 88.5 kg.,2193480,USA,2019,1,24
357,Luka Samanic,72,#19,F,01/09/00,6-10 / 2.08,209 lbs. / 94.8 kg.,2689920,Croatia,2019,1,19
358,Keldon Johnson,72,#3,F,10/11/99,6-5 / 1.96,211 lbs. / 95.7 kg.,1950600,USA,2019,1,29
359,Matt Thomas,72,#21,G,08/04/94,6-4 / 1.93,197 lbs. / 89.4 kg.,898310,USA,2017,Undrafted,Undrafted
360,Chris Boucher,71,#25,F-C,01/11/93,6-9 / 2.06,200 lbs. / 90.7 kg.,1588231,Canada,2017,Undrafted,Undrafted
361,Jevon Carter,71,#4,G,09/14/95,6-1 / 1.85,200 lbs. / 90.7 kg.,1416852,USA,2018,2,32
362,Deyonta Davis,71,#0,F-C,12/02/96,6-10 / 2.08,240 lbs. / 108.9 kg.,250000,USA,2016,2,31
363,Jacob Evans,71,#0,G,06/18/97,6-4 / 1.93,210 lbs. / 95.3 kg.,1925880,USA,2018,1,28
364,Terrance Ferguson,71,#23,G,05/17/98,6-6 / 1.98,184 lbs. / 83.5 kg.,2475840,USA,2017,1,21
365,Daniel Gafford,71,#12,F,10/01/98,6-10 / 2.08,234 lbs. / 106.1 kg.,898310,USA,2019,2,38
366,Treveon Graham,71,#12,G,10/28/93,6-5 / 1.96,219 lbs. / 99.3 kg.,1645357,USA,2015,Undrafted,Undrafted
367,Frank Jackson,71,#15,G,05/04/98,6-3 / 1.91,205 lbs. / 93 kg.,1618520,USA,2017,2,31
368,Luke Kornet,71,#2,C,07/15/95,7-2 / 2.18,240 lbs. / 108.9 kg.,2250000,USA,2017,Undrafted,Undrafted
369,Frank Mason,71,#15,G,04/13/94,5-11 / 1.80,190 lbs. / 86.2 kg.,79568,USA,2017,2,34
370,Ben McLemore,71,#16,G,02/11/93,6-3 / 1.91,189 lbs. / 85.7 kg.,2028594,USA,2013,1,7
371,Dzanan Musa,71,#13,F,05/08/99,6-9 / 2.06,195 lbs. / 88.5 kg.,1911600,Bosnia and Herzegovina,2018,1,29
372,Elie Okobo,71,#2,G,10/23/97,6-3 / 1.91,190 lbs. / 86.2 kg.,1416852,France,2018,2,31
373,Jerome Robinson,71,#1,G,02/22/97,6-4 / 1.93,190 lbs. / 86.2 kg.,3567720,USA,2018,1,13
374,JaKarr Sampson,71,#14,F,03/20/93,6-7 / 2.01,223 lbs. / 101.2 kg.,1737145,USA,2014,Undrafted,Undrafted
375,Edmond Sumner,71,#5,G,12/13/95,6-4 / 1.93,186 lbs. / 84.4 kg.,2000000,USA,2017,2,52
376,Gary Trent Jr,71,#2,G,01/18/99,6-5 / 1.96,209 lbs. / 94.8 kg.,1416852,USA,2018,2,37
377,Moritz Wagner,71,#21,F,04/26/97,6-11 / 2.11,240 lbs. / 108.9 kg.,2063520,Germany,2018,1,25
378,Admiral Schofield,71,#1,F,03/30/97,6-5 / 1.96,241 lbs. / 109.3 kg.,1000000,USA,2019,2,42
379,Bruno Fernando,71,#24,F,08/15/98,6-9 / 2.06,245 lbs. / 111.1 kg.,1400000,Angola,2019,2,34
380,Alen Smailagic,71,#6,F,08/18/00,6-10 / 2.08,215 lbs. / 97.5 kg.,898310,Serbia,2019,2,39
381,Eric Paschall,71,#7,F,11/04/96,6-6 / 1.98,255 lbs. / 115.7 kg.,898310,USA,2019,2,41
382,Carsen Edwards,71,#4,G,03/12/98,5-11 / 1.80,200 lbs. / 90.7 kg.,1228026,USA,2019,2,33
383,KZ Okpala,71,#4,F,04/28/99,6-8 / 2.03,215 lbs. / 97.5 kg.,898310,USA,2019,2,32
384,Shake Milton,71,#18,C,09/26/96,6-5 / 1.96,205 lbs. / 93 kg.,1445697,USA,2018,2,54
385,Chimezie Metu,71,#7,F,03/22/97,6-9 / 2.06,225 lbs. / 102.1 kg.,1416852,Nigeria,2018,2,49
386,Keita Bates-Diop,70,#0,F,01/23/96,6-8 / 2.03,235 lbs. / 106.6 kg.,1416852,USA,2018,2,48
387,Darius Bazley,70,#7,F,06/12/00,6-8 / 2.03,200 lbs. / 90.7 kg.,2284800,USA,2019,1,23
388,Tony Bradley,70,#13,F-C,01/08/98,6-10 / 2.08,248 lbs. / 112.5 kg.,1962360,USA,2017,1,28
389,Hamidou Diallo,70,#6,G,07/31/98,6-5 / 1.96,198 lbs. / 89.8 kg.,1416852,USA,2018,2,45
390,Melvin Frazier,70,#35,F,08/30/96,6-5 / 1.96,201 lbs. / 91.2 kg.,1416852,USA,2018,2,35
391,Solomon Hill,70,#44,F,03/18/91,6-6 / 1.98,226 lbs. / 102.5 kg.,13290395,USA,2013,1,23
392,Alize Johnson,70,#24,F,04/26/96,6-7 / 2.01,201 lbs. / 91.2 kg.,1416852,USA,2018,2,50
393,Skal Labissiere,70,#0,C-F,03/18/96,6-10 / 2.08,216 lbs. / 98 kg.,2338846,Haiti,2016,1,28
394,Tyler Lydon,70,#0,F-C,04/09/96,6-9 / 2.06,220 lbs. / 99.8 kg.,50000,USA,2017,1,24
395,Sviatoslav Mykhailiuk,70,#19,G,06/10/97,6-7 / 2.01,205 lbs. / 93 kg.,1416852,Ukraine,2018,2,47
396,Johnathan Motley,70,#15,F,05/04/95,6-8 / 2.03,230 lbs. / 104.3 kg.,79568,USA,2017,Undrafted,Undrafted
397,Abdel Nader,70,#11,F,09/25/93,6-5 / 1.96,225 lbs. / 102.1 kg.,1618520,Egypt,2016,2,58
398,Miles Plumlee,70,#0,F-C,09/01/88,6-11 / 2.11,255 lbs. / 115.7 kg.,12500000,USA,2012,1,26
399,Caleb Swanigan,70,#50,C,04/18/97,6-9 / 2.06,249 lbs. / 112.9 kg.,2033160,USA,2017,1,26
